Epoch,Training Time (s)
1,107.71029114723206
2,100.55479001998901
3,101.52204394340515
4,100.72682523727417
5,102.07284736633301
6,99.67107033729553
7,94.95624303817749
8,95.52244901657104
9,95.48682308197021
10,95.49518990516663
11,96.12784457206726
12,97.65320372581482
13,96.5717453956604
14,97.50897741317749
15,96.47767090797424
16,95.96657681465149
17,96.58258271217346
18,96.65898060798645
19,97.87374377250671
20,94.91200184822083
21,96.69446134567261
22,95.43850469589233
23,96.0305163860321
24,96.10160851478577
25,96.5624725818634
26,97.13906764984131
27,97.43508505821228
28,96.63388729095459
29,96.89782285690308
30,95.91249871253967
