Epoch,Training Time (s)
1,43.41527032852173
2,43.62221574783325
3,43.736804246902466
4,44.023911237716675
5,43.87253165245056
6,43.78890514373779
7,43.5579879283905
8,43.59416460990906
9,43.76681351661682
10,44.19580292701721
11,43.760130882263184
12,43.709015130996704
13,43.888407468795776
14,43.711469411849976
15,43.59842801094055
16,43.28464698791504
17,43.789042472839355
18,44.1744704246521
19,44.003363370895386
20,43.77234244346619
21,43.840139627456665
22,43.71276354789734
23,43.7282555103302
24,43.990179777145386
25,43.79716396331787
26,43.8292396068573
27,43.81094241142273
28,43.569746017456055
29,43.525293827056885
30,43.52001714706421
