Epoch,Training Time (s)
1,105.27719449996948
2,103.71297907829285
3,102.90736532211304
4,102.7260537147522
5,102.68384528160095
6,102.41716575622559
7,101.08416819572449
8,103.79962134361267
9,101.97571992874146
10,101.30360341072083
11,100.90691447257996
12,101.62563037872314
13,101.55854535102844
14,103.22585964202881
15,101.17422294616699
16,101.8398699760437
17,101.10234022140503
18,103.14555835723877
19,103.91697359085083
20,102.80962181091309
21,102.02543067932129
22,105.01447081565857
23,103.24809432029724
24,101.67573618888855
25,101.6341495513916
26,102.83190107345581
27,104.44972372055054
28,105.08030700683594
29,104.81336426734924
30,104.99441957473755
