Epoch,Training Time (s)
1,44.27792239189148
2,44.19445276260376
3,44.26531744003296
4,44.208234548568726
5,43.776524782180786
6,44.02973008155823
7,44.314101457595825
8,44.27130198478699
9,44.42914581298828
10,44.19584846496582
11,44.08383131027222
12,44.177289724349976
13,44.208770513534546
14,44.34595346450806
15,44.43598175048828
16,44.16712188720703
17,44.357009410858154
18,44.791725635528564
19,44.50755524635315
20,44.1399130821228
21,44.31899166107178
22,44.502431869506836
23,44.74010419845581
24,44.21777081489563
25,43.98727607727051
26,44.09699487686157
27,44.455816984176636
28,44.17050647735596
29,44.500295639038086
30,44.10580825805664
