Epoch,Training Time (s)
1,143.72842288017273
2,142.42867136001587
3,144.0618622303009
4,142.68705487251282
5,142.94818949699402
6,144.03038668632507
7,142.5015320777893
8,141.6969735622406
9,141.416809797287
10,142.49482583999634
11,141.48634576797485
12,141.24247407913208
13,141.42171549797058
14,140.52615904808044
15,141.2364010810852
16,143.76696515083313
17,144.3527705669403
18,142.9268684387207
19,143.54456639289856
20,145.68546199798584
21,145.13152837753296
22,144.76287531852722
23,144.4623818397522
24,143.50778102874756
25,145.7605423927307
26,144.1922571659088
27,144.512766122818
28,144.5391948223114
29,144.05949521064758
30,144.87768983840942
