Epoch,Net Sparsity,Validation Loss,Node_0,Node_1,Node_2
1,0.38835341365461845,0.947792019546032,1.0,1.0,1.0
2,0.37005208333333334,0.6846098598837852,1.0,1.0,1.0
3,0.3690982680722892,0.6810965198278427,1.0,1.0,1.0
4,0.36718122489959837,0.6734435611963272,1.0,1.0,1.0
5,0.3632906626506024,0.6494984829425812,1.0,1.0,1.0
6,0.35975778112449797,0.6259876033663749,1.0,1.0,1.0
7,0.3577277861445783,0.6130604973435402,1.0,1.0,1.0
8,0.3558483935742972,0.5960850584506988,1.0,1.0,1.0
9,0.35301518574297186,0.5693331038951874,1.0,1.0,1.0
10,0.34953564257028114,0.5393211157619953,1.0,1.0,1.0
11,0.3464639809236948,0.5116253857314587,1.0,1.0,1.0
12,0.3435648845381526,0.4884152264893055,1.0,1.0,1.0
13,0.3411238704819277,0.46985887706279755,1.0,1.0,1.0
14,0.3389432730923695,0.4554805229604244,1.0,1.0,1.0
15,0.3370952560240964,0.44309054255485536,1.0,1.0,1.0
16,0.33493348393574296,0.4312831328809261,1.0,1.0,1.0
17,0.3328972138554217,0.4197100456058979,1.0,1.0,1.0
18,0.3310523343373494,0.4089359663426876,1.0,1.0,1.0
19,0.3293768825301205,0.39924125850200654,1.0,1.0,1.0
20,0.32774221887550203,0.3903627572953701,1.0,1.0,1.0
21,0.32645268574297187,0.3819062854349613,1.0,1.0,1.0
22,0.32537023092369477,0.3737747623026371,1.0,1.0,1.0
23,0.3241246234939759,0.36605206698179243,1.0,1.0,1.0
24,0.3229166666666667,0.35870494931936264,1.0,1.0,1.0
25,0.32201932730923694,0.35175671845674517,1.0,1.0,1.0
26,0.3210655120481928,0.34529397889971736,1.0,1.0,1.0
27,0.32016817269076303,0.3393255017697811,1.0,1.0,1.0
28,0.3194465361445783,0.3338034304976463,1.0,1.0,1.0
29,0.31869666164658633,0.32858286693692207,1.0,1.0,1.0
30,0.3180346385542169,0.3236193300783634,1.0,1.0,1.0
