Epoch,Training Time (s)
1,170.302973985672
2,166.82470750808716
3,168.90714979171753
4,166.94197463989258
5,170.7969470024109
6,170.40120124816895
7,171.2477569580078
8,170.04363226890564
9,171.15943884849548
10,168.83490109443665
11,171.36910700798035
12,169.98761868476868
13,167.40362167358398
14,176.04933953285217
15,168.33447456359863
16,167.18311166763306
17,168.39722871780396
18,169.56552052497864
19,170.33525252342224
20,168.5328357219696
21,167.1055293083191
22,167.55795121192932
23,168.85294818878174
24,167.66627717018127
25,168.27970790863037
26,166.919495344162
27,166.6448302268982
28,164.9604423046112
29,165.2917401790619
30,166.38145184516907
