Epoch,Training Time (s)
1,125.51271367073059
2,117.93022394180298
3,119.01975655555725
4,122.57562732696533
5,123.6507523059845
6,120.68971109390259
7,119.30757927894592
8,120.20461583137512
9,118.57706665992737
10,115.98744583129883
11,118.81440472602844
12,117.53945779800415
13,118.32690167427063
14,115.4387834072113
15,117.56619191169739
16,116.52877426147461
17,117.41263747215271
18,116.71269202232361
19,117.99132537841797
20,114.71345067024231
21,117.61351990699768
22,117.43575763702393
23,118.50462770462036
24,117.00046062469482
25,118.17756605148315
26,115.46198105812073
27,119.34483408927917
28,118.42215538024902
29,117.6557502746582
30,115.67594289779663
