Epoch,Net Sparsity,Validation Loss,Node_0,Node_1,Node_2,Node_3
1,0.3997461129547689,0.9843475961685181,1.0,1.0,1.0,1.0
2,0.39917093012536875,0.9701963910460472,1.0,1.0,1.0,1.0
3,0.3981681531157817,0.9558298346400261,1.0,1.0,1.0,1.0
4,0.39556321825835794,0.9334791311621666,1.0,1.0,1.0,1.0
5,0.38516057107300883,0.6855499640107154,1.0,1.0,1.0,1.0
6,0.3851280189896755,0.6839680254459382,1.0,1.0,1.0,1.0
7,0.3850937384771386,0.6835586512088776,1.0,1.0,1.0,1.0
8,0.385062338679941,0.6832948359847069,1.0,1.0,1.0,1.0
9,0.385032379240413,0.6830735862255096,1.0,1.0,1.0,1.0
10,0.38500530051622417,0.6828690767288208,1.0,1.0,1.0,1.0
11,0.38496573869223205,0.6826713809370994,1.0,1.0,1.0,1.0
12,0.3849162864122419,0.6824736300110817,1.0,1.0,1.0,1.0
13,0.3848527186270895,0.6822687169909477,1.0,1.0,1.0,1.0
14,0.38475573454400197,0.6820485827326774,1.0,1.0,1.0,1.0
15,0.384652989030236,0.6818008589744567,1.0,1.0,1.0,1.0
16,0.38450780097713866,0.6815053707361222,1.0,1.0,1.0,1.0
17,0.38431335269174044,0.681126424074173,1.0,1.0,1.0,1.0
18,0.38405312807276304,0.6805937030911445,1.0,1.0,1.0,1.0
19,0.3836679764319076,0.6797514447569847,1.0,1.0,1.0,1.0
20,0.38313321964110125,0.6782091140747071,1.0,1.0,1.0,1.0
21,0.3822715976831367,0.6748236221075058,1.0,1.0,1.0,1.0
22,0.38075806984390365,0.6658751836419106,1.0,1.0,1.0,1.0
23,0.3782880484882006,0.6444341504573822,1.0,1.0,1.0,1.0
24,0.37621412549164207,0.627456696331501,1.0,1.0,1.0,1.0
25,0.3755719180186824,0.6230058056116105,1.0,1.0,1.0,1.0
26,0.37525331090216324,0.6203847056627274,1.0,1.0,1.0,1.0
27,0.37493431969026547,0.6183783182501793,1.0,1.0,1.0,1.0
28,0.3746044777839233,0.6167780655622482,1.0,1.0,1.0,1.0
29,0.37424995774950837,0.6154127797484398,1.0,1.0,1.0,1.0
30,0.37387863354228124,0.614114199578762,1.0,1.0,1.0,1.0
