Epoch,Net Sparsity,Validation Loss,Node_0,Node_1,Node_2
1,0.38007734879533034,0.6875847646594048,1.0,1.0,1.0
2,0.37860450043467464,0.6782706812024116,1.0,1.0,1.0
3,0.3762933510307998,0.6684579697251319,1.0,1.0,1.0
4,0.3714168451937407,0.6384772405028343,1.0,1.0,1.0
5,0.3674533500993542,0.6158761778473854,1.0,1.0,1.0
6,0.3648661629098361,0.6006784471869469,1.0,1.0,1.0
7,0.36124177223050175,0.5724069437384606,1.0,1.0,1.0
8,0.35669563850596125,0.5331794662773609,1.0,1.0,1.0
9,0.3529858653129657,0.5032552996277809,1.0,1.0,1.0
10,0.34987765073894683,0.47885495752096174,1.0,1.0,1.0
11,0.34702994985717833,0.45682034999132154,1.0,1.0,1.0
12,0.3446906630340288,0.4410233761370182,1.0,1.0,1.0
13,0.3426783524279682,0.42732177063822746,1.0,1.0,1.0
14,0.3406107372391952,0.41305455669760704,1.0,1.0,1.0
15,0.3386639189021361,0.39861338809132574,1.0,1.0,1.0
16,0.33682819485842025,0.3856985582411289,1.0,1.0,1.0
17,0.3353034378104819,0.3751456381380558,1.0,1.0,1.0
18,0.33391257606805763,0.3664525163173675,1.0,1.0,1.0
19,0.33283171106557374,0.35871439695358276,1.0,1.0,1.0
20,0.33174502452806753,0.3513562235236168,1.0,1.0,1.0
21,0.33079951021485343,0.34426952451467513,1.0,1.0,1.0
22,0.32982731386612024,0.3374983659386635,1.0,1.0,1.0
23,0.3289851317995529,0.3310335700213909,1.0,1.0,1.0
24,0.3281021989878291,0.3248468321561813,1.0,1.0,1.0
25,0.32727165999130653,0.3189124047756195,1.0,1.0,1.0
26,0.3265226224850969,0.3132187809050083,1.0,1.0,1.0
27,0.3256595799180328,0.3077428771555424,1.0,1.0,1.0
28,0.32483728809612517,0.3024687024950981,1.0,1.0,1.0
29,0.32403876754222555,0.2974005264043808,1.0,1.0,1.0
30,0.3232979772106309,0.29255510821938513,1.0,1.0,1.0
