Epoch,Training Time (s)
1,144.13644528388977
2,141.76440596580505
3,146.2752811908722
4,144.3092885017395
5,145.12504863739014
6,143.4880714416504
7,144.83658504486084
8,142.95850467681885
9,144.28722548484802
10,143.2704062461853
11,143.37530732154846
12,144.12330436706543
13,144.21585607528687
14,144.92334914207458
15,142.73814272880554
16,143.35710430145264
17,144.33234357833862
18,143.1321358680725
19,143.0232334136963
20,143.28954148292542
21,144.21816873550415
22,142.81658792495728
23,143.4300937652588
24,144.12000370025635
25,142.30630373954773
26,142.57350158691406
27,143.89827680587769
28,143.11655044555664
29,143.02432322502136
30,144.58035922050476
