Epoch,Training Time (s)
1,143.77865839004517
2,143.9173879623413
3,144.22991156578064
4,143.89922523498535
5,144.08362650871277
6,143.72766947746277
7,142.90474557876587
8,142.7826054096222
9,142.78291630744934
10,143.95673871040344
11,142.81654500961304
12,145.06300806999207
13,143.4220736026764
14,141.57921743392944
15,142.0495069026947
16,142.40761423110962
17,141.46362733840942
18,142.29452276229858
19,141.15412592887878
20,141.15507435798645
21,142.11202430725098
22,142.86911153793335
23,142.58981823921204
24,140.20820546150208
25,140.38531398773193
26,141.6122739315033
27,143.33593845367432
28,142.5440948009491
29,140.42266035079956
30,143.2710680961609
