Epoch,Training Time (s)
1,56.05476689338684
2,52.761581897735596
3,53.70867609977722
4,53.63972043991089
1,106.21576452255249
2,104.14768409729004
3,102.28569173812866
4,103.20548963546753
5,104.7004873752594
6,103.18954038619995
7,102.58614468574524
8,104.58112621307373
9,103.26039695739746
10,102.72030472755432
11,102.7219066619873
12,102.52647686004639
13,101.54158353805542
14,102.76260113716125
15,100.98563480377197
16,101.81448984146118
17,103.08823871612549
18,101.06582117080688
19,103.03739166259766
20,102.30775237083435
21,102.69989943504333
22,103.0065016746521
23,103.71243834495544
24,102.50823593139648
25,101.62077689170837
26,98.31508421897888
27,101.67094111442566
28,101.581378698349
29,101.44317078590393
30,101.42757511138916
