Epoch,Training Time (s)
1,54.69553184509277
2,54.36296200752258
3,53.54580307006836
4,53.9030966758728
5,52.96001410484314
6,53.39892578125
7,53.04603838920593
8,53.551010847091675
9,53.35301184654236
10,53.92603611946106
11,53.09522247314453
12,52.70386290550232
13,53.80211114883423
14,53.65492248535156
1,106.47314882278442
2,105.12999653816223
3,106.78637933731079
4,106.54063749313354
5,107.43040156364441
6,105.56095433235168
7,108.21154594421387
8,104.9284975528717
9,106.81038093566895
10,106.55866837501526
11,109.08399558067322
12,107.09320855140686
13,106.10430955886841
14,107.97242593765259
15,106.02169609069824
16,108.26209878921509
17,107.23830008506775
18,108.70816969871521
19,108.30475211143494
20,109.13500118255615
21,109.551522731781
22,109.81634545326233
23,106.6999876499176
24,108.24784827232361
25,108.30260801315308
26,108.21908712387085
27,108.35475564002991
28,108.28499484062195
29,106.9464156627655
30,105.36509251594543
