Epoch,Training Time (s)
1,425.31800174713135
2,420.7344477176666
3,415.6249475479126
4,428.83717250823975
5,423.5839924812317
6,414.99149346351624
7,417.19019985198975
8,418.3660943508148
9,420.3370864391327
10,403.4140155315399
11,400.80190443992615
12,401.7498242855072
13,402.59558749198914
14,401.5741333961487
15,397.75946021080017
16,394.8903658390045
17,397.36165165901184
18,398.53980588912964
19,393.23804450035095
20,391.35676169395447
21,393.0792510509491
22,390.18320083618164
23,392.2034213542938
24,396.54466915130615
25,394.1711983680725
26,394.0012710094452
27,391.04772329330444
28,394.1603789329529
29,405.1551458835602
30,403.25761580467224
