Epoch,Training Time (s)
1,404.9211642742157
2,399.7067234516144
3,398.67849349975586
4,400.14584159851074
5,407.56571865081787
6,404.21497559547424
7,399.72924423217773
8,397.08500385284424
9,396.94825863838196
10,394.8946828842163
11,390.24133563041687
12,389.8424847126007
13,389.22502541542053
14,387.0955445766449
15,391.40067768096924
16,390.1917779445648
17,388.9467771053314
18,389.81178975105286
19,386.5209515094757
20,392.22406911849976
21,391.8665084838867
22,391.39897084236145
23,395.9986538887024
24,398.0507233142853
25,401.50129556655884
26,397.4354214668274
27,394.05060744285583
28,394.71738386154175
29,396.971391916275
30,392.8878080844879
