Epoch,Training Time (s)
1,158.17952299118042
2,160.63427114486694
3,165.59887218475342
4,157.6287136077881
5,155.24603056907654
6,156.86287903785706
7,155.71806645393372
8,153.57301545143127
9,153.9055392742157
10,154.11335396766663
11,155.06015491485596
12,158.1291105747223
13,157.56186628341675
14,157.1123948097229
15,159.12535429000854
16,158.78402590751648
17,158.4123523235321
18,156.53011894226074
19,155.96059107780457
20,154.9301052093506
21,158.44201970100403
22,160.542316198349
23,158.41570687294006
24,157.60418510437012
25,159.77014112472534
26,157.93786025047302
27,158.24716019630432
28,154.41297101974487
29,154.51656985282898
30,154.75201535224915
