Epoch,Training Time (s)
1,181.59895181655884
2,178.20373916625977
3,180.00845909118652
4,176.28114342689514
5,178.03946042060852
6,181.80655527114868
7,175.98710322380066
8,179.06818842887878
9,188.21926093101501
10,184.1768524646759
11,189.12257647514343
12,192.66594767570496
13,196.54215145111084
14,196.3083815574646
15,196.01030802726746
16,186.8814980983734
17,185.29353594779968
18,190.27868461608887
19,188.28120970726013
20,186.38401651382446
21,186.28558778762817
22,188.2823088169098
23,187.8176555633545
24,185.92716431617737
25,185.97981977462769
26,185.28523540496826
27,183.6418900489807
28,183.85829377174377
29,186.50005555152893
30,189.6592662334442
