Epoch,Training Time (s)
1,112.55025124549866
2,109.92034792900085
3,111.48459577560425
4,112.62452554702759
5,114.71598529815674
6,115.15158557891846
7,117.98117780685425
8,111.79504418373108
9,115.9939477443695
10,118.70300698280334
11,115.32498621940613
12,116.5487904548645
13,117.34170365333557
14,120.35627436637878
15,124.42622542381287
16,122.96873450279236
17,123.18620586395264
18,120.11095666885376
19,119.26458430290222
20,119.79704141616821
21,115.71303915977478
22,118.5330331325531
23,123.57138442993164
24,125.53585624694824
25,121.0088403224945
26,119.85583925247192
27,119.13520359992981
28,122.08137965202332
29,123.85110211372375
30,121.6931586265564
