Epoch,Training Time (s)
1,117.65957260131836
2,113.24535655975342
3,112.51892471313477
4,111.75440573692322
5,110.71295428276062
6,115.04268622398376
7,112.89702916145325
8,112.02792024612427
9,111.55326771736145
10,113.73376893997192
11,113.79671287536621
12,114.25853872299194
13,112.55739116668701
14,112.76773977279663
15,117.67317199707031
16,112.51245999336243
17,111.98617243766785
18,114.03654599189758
19,113.31872057914734
20,113.55698728561401
21,113.73323512077332
22,113.42619061470032
23,115.26143836975098
24,114.65312600135803
25,113.61802172660828
26,113.7329158782959
27,113.87183666229248
28,113.76474523544312
29,115.13497257232666
30,114.79200029373169
