Epoch,Training Time (s)
1,169.7770037651062
2,172.96241402626038
3,170.6436426639557
4,167.1262845993042
5,169.30568194389343
6,165.02975511550903
7,166.46438789367676
8,166.29036951065063
9,165.33608317375183
10,164.26330184936523
11,166.5473895072937
12,169.04772996902466
13,168.35495734214783
14,166.27430272102356
15,165.82517886161804
16,166.20473623275757
17,166.5538694858551
18,166.79136633872986
19,164.84221506118774
20,166.013498544693
21,164.39822912216187
22,165.6200773715973
23,166.46042442321777
24,168.22324132919312
25,165.09978985786438
26,166.1782410144806
27,165.08211159706116
28,167.70774292945862
29,168.05806303024292
30,166.36986541748047
