Epoch,Training Time (s)
1,125.08032274246216
2,121.03766703605652
3,119.64625883102417
4,119.69326782226562
5,118.46108603477478
6,118.24124646186829
7,116.96853017807007
8,116.0596137046814
9,117.67484450340271
10,115.32093739509583
11,116.84140920639038
12,115.00994968414307
13,119.00555872917175
14,118.43435549736023
15,118.37316966056824
16,114.05595278739929
17,117.43164682388306
18,117.13762402534485
19,115.95641803741455
20,118.90684175491333
21,116.77088665962219
22,119.32358956336975
23,124.93054795265198
24,123.23120975494385
25,123.95194029808044
26,122.9210844039917
27,120.4195945262909
28,124.01314067840576
29,120.90883898735046
30,124.19467067718506
