Epoch,Training Time (s)
1,192.07234907150269
2,192.22702050209045
3,189.46462678909302
4,189.23899865150452
5,186.07094740867615
6,185.44841766357422
7,188.48901557922363
8,186.93200826644897
9,180.21137499809265
10,184.87854981422424
11,187.23053336143494
12,185.96759366989136
13,186.31976556777954
14,183.20041966438293
15,177.0805470943451
16,182.13630175590515
17,184.74914622306824
18,179.4792776107788
19,185.27287340164185
20,184.866863489151
21,185.86385583877563
22,187.70147514343262
23,191.24350380897522
24,188.2150912284851
25,192.28383350372314
26,195.31839632987976
27,197.69917392730713
28,193.90966820716858
29,195.7542781829834
30,193.90009307861328
